age,education,occupation,marital_status,spending_score,credit_score,work_experience,loan_status,income
22,Master,Lawyer,Divorced,75,467,26,Small Loan,77837
58,Master,Lawyer,Divorced,60,337,16,Large Loan,192046
25,High School,Artist,Widowed,97,770,5,No Loan,157181
27,High School,Doctor,Single,26,751,15,Small Loan,53755
46,PhD,Artist,Divorced,27,789,7,Small Loan,133473
28,Bachelor,Lawyer,Divorced,38,441,32,Small Loan,49802
56,High School,Engineer,Single,22,402,9,Small Loan,89771
52,High School,Engineer,Married,26,341,33,No Loan,68899
61,High School,Teacher,Divorced,86,446,18,No Loan,198044
63,PhD,Manager,Single,69,365,13,Small Loan,151995
43,Master,Teacher,Divorced,35,492,2,Large Loan,192776
34,PhD,Engineer,Widowed,66,597,22,Large Loan,100194
51,Bachelor,Lawyer,Divorced,99,337,39,Large Loan,134484
51,Bachelor,Teacher,Single,73,801,10,Large Loan,77958
43,Bachelor,Artist,Divorced,51,727,5,No Loan,113469
60,Bachelor,Manager,Widowed,18,651,33,No Loan,67491
31,High School,Artist,Widowed,43,625,0,Large Loan,33495
58,High School,Manager,Divorced,12,337,34,No Loan,90181
21,PhD,Lawyer,Divorced,3,396,24,Large Loan,38097
22,Master,Teacher,Widowed,82,407,28,Small Loan,177604
56,Bachelor,Manager,Widowed,7,450,22,Small Loan,187182
36,PhD,Artist,Married,97,373,17,Large Loan,65702
21,High School,Teacher,Married,6,356,13,No Loan,151901
21,High School,Teacher,Widowed,82,634,16,Large Loan,180789
47,Master,Artist,Divorced,45,551,1,No Loan,80941
42,Master,Engineer,Single,86,553,30,Small Loan,129079
56,Master,Manager,Divorced,39,684,18,No Loan,132304
51,PhD,Artist,Divorced,51,755,31,Large Loan,107867
52,High School,Lawyer,Married,9,558,27,Small Loan,151292
20,High School,Doctor,Married,99,764,7,Small Loan,68252
38,Master,Artist,Married,23,333,39,No Loan,74917
21,Bachelor,Teacher,Widowed,12,794,38,Small Loan,134419
63,Master,Teacher,Widowed,88,625,21,Small Loan,46399
45,PhD,Artist,Divorced,62,537,23,No Loan,116050
51,Master,Doctor,Divorced,73,840,37,Small Loan,27496
25,Master,Artist,Single,77,765,1,Large Loan,55985
51,PhD,Doctor,Divorced,40,603,18,No Loan,140950
23,Master,Doctor,Divorced,54,416,1,No Loan,129697
30,High School,Lawyer,Married,81,506,27,No Loan,177506
36,Bachelor,Manager,Married,7,780,31,No Loan,63178
57,Master,Teacher,Married,17,702,18,Large Loan,58310
43,PhD,Teacher,Married,50,532,15,No Loan,101407
24,Bachelor,Doctor,Married,24,583,29,Large Loan,169462
53,PhD,Teacher,Single,2,779,21,No Loan,101682
25,Bachelor,Engineer,Single,99,308,13,No Loan,146352
41,Bachelor,Doctor,Single,92,678,0,Small Loan,73577
30,Master,Teacher,Married,83,680,1,Small Loan,114643
35,High School,Engineer,Widowed,33,659,21,Large Loan,76933
52,Master,Lawyer,Married,21,475,32,Small Loan,40479
28,PhD,Teacher,Married,74,784,14,No Loan,101719
25,PhD,Engineer,Single,53,704,21,Large Loan,109532
35,Bachelor,Artist,Married,46,332,39,Small Loan,184296
48,Bachelor,Manager,Single,45,764,38,No Loan,172245
22,High School,Artist,Married,9,456,10,Small Loan,101408
39,Master,Engineer,Divorced,6,501,3,Small Loan,64800
55,PhD,Doctor,Widowed,51,474,6,Small Loan,183496
38,Bachelor,Doctor,Widowed,35,543,20,Small Loan,178779
45,High School,Teacher,Single,82,568,6,No Loan,37854
22,PhD,Artist,Divorced,53,745,3,Small Loan,128090
38,Bachelor,Doctor,Widowed,19,373,11,Large Loan,159753
39,PhD,Doctor,Single,69,395,26,Large Loan,177685
51,High School,Artist,Married,25,472,16,Small Loan,44879
26,High School,Lawyer,Married,11,705,19,Large Loan,31078
60,PhD,Doctor,Divorced,74,454,30,Small Loan,139166
52,Master,Manager,Widowed,17,482,25,No Loan,70461
59,PhD,Engineer,Married,36,622,30,No Loan,121892
58,Bachelor,Teacher,Single,90,588,34,Large Loan,77314
37,Master,Doctor,Married,95,557,8,Large Loan,52941
59,Bachelor,Manager,Married,96,473,4,Small Loan,157488
20,PhD,Manager,Widowed,21,629,7,Small Loan,181497
30,Master,Doctor,Widowed,18,530,20,Small Loan,149781
47,Bachelor,Lawyer,Single,60,460,15,No Loan,164579
44,PhD,Engineer,Divorced,18,485,15,Small Loan,147261
42,PhD,Teacher,Divorced,1,442,17,No Loan,38573
50,Master,Doctor,Married,14,581,27,Large Loan,184770
49,PhD,Teacher,Single,8,326,17,No Loan,198550
61,High School,Artist,Divorced,66,545,13,Large Loan,86494
54,Bachelor,Manager,Divorced,51,786,36,No Loan,43318
26,Bachelor,Manager,Married,79,501,39,No Loan,194791
35,PhD,Doctor,Single,60,320,15,Small Loan,121528
45,PhD,Doctor,Divorced,34,393,20,Large Loan,100529
21,High School,Artist,Widowed,36,307,0,No Loan,64102
20,Master,Lawyer,Widowed,62,771,10,No Loan,44006
31,PhD,Doctor,Married,1,638,10,Large Loan,34048
24,PhD,Manager,Married,85,558,1,No Loan,178021
56,PhD,Teacher,Married,42,354,31,Large Loan,42909
51,PhD,Engineer,Married,1,847,18,Large Loan,187407
28,Bachelor,Teacher,Divorced,96,305,4,Large Loan,59184
60,PhD,Lawyer,Single,84,676,2,No Loan,86215
54,Bachelor,Engineer,Married,54,349,27,No Loan,183713
38,PhD,Teacher,Married,47,411,25,Small Loan,93256
35,Master,Teacher,Divorced,39,445,22,Large Loan,31826
22,High School,Artist,Married,30,529,29,No Loan,119316
39,Master,Lawyer,Married,7,796,7,No Loan,64563
43,PhD,Manager,Single,22,605,35,Large Loan,77828
52,PhD,Artist,Widowed,50,841,28,Large Loan,128380
43,PhD,Engineer,Married,45,760,12,Large Loan,138766
30,Master,Manager,Divorced,74,525,24,Small Loan,31369
27,PhD,Artist,Single,72,358,21,Small Loan,66312
55,Master,Lawyer,Divorced,91,375,32,Small Loan,134727
57,Bachelor,Doctor,Single,10,727,36,Large Loan,161898
59,High School,Doctor,Single,14,431,6,No Loan,155371
39,High School,Engineer,Married,46,797,22,Large Loan,158264
54,Master,Doctor,Married,75,604,5,No Loan,149657
44,Bachelor,Artist,Married,6,366,14,Small Loan,175992
54,Master,Engineer,Widowed,21,529,14,Small Loan,138554
44,Bachelor,Manager,Widowed,62,632,39,Small Loan,179755
48,PhD,Lawyer,Divorced,97,576,33,No Loan,50692
37,Bachelor,Engineer,Married,19,443,13,No Loan,107453
37,Bachelor,Manager,Widowed,88,550,28,Large Loan,34409
21,Bachelor,Engineer,Married,82,379,15,Large Loan,39795
54,High School,Teacher,Widowed,99,356,28,Large Loan,101716
35,Bachelor,Teacher,Widowed,62,665,22,Small Loan,177807
60,PhD,Engineer,Single,83,607,9,Large Loan,148411
55,PhD,Doctor,Married,53,473,3,Small Loan,69036
52,PhD,Teacher,Married,24,761,11,No Loan,78387
23,Bachelor,Lawyer,Widowed,56,792,33,Small Loan,129545
52,Master,Manager,Married,62,673,3,Small Loan,37021
33,Master,Artist,Widowed,34,648,19,Small Loan,94650
40,PhD,Teacher,Married,22,366,27,No Loan,93120
39,High School,Engineer,Single,68,629,27,No Loan,34740
27,Master,Doctor,Married,57,493,5,Large Loan,169391
26,Bachelor,Artist,Single,10,454,13,Large Loan,111391
22,Master,Manager,Divorced,66,459,34,Large Loan,161314
36,PhD,Manager,Married,8,565,0,No Loan,71169
52,High School,Teacher,Married,97,467,18,No Loan,88711
31,Master,Manager,Married,38,444,0,No Loan,185479
41,Master,Manager,Single,62,485,12,No Loan,78504
41,PhD,Doctor,Married,28,722,7,No Loan,177384
49,High School,Doctor,Married,10,756,17,Small Loan,104630
57,High School,Doctor,Widowed,45,644,34,Large Loan,139481
57,PhD,Engineer,Divorced,65,815,22,Small Loan,130619
64,Bachelor,Manager,Single,98,403,25,Large Loan,139050
27,Master,Manager,Widowed,67,546,37,Small Loan,37988
46,Bachelor,Manager,Single,9,322,19,No Loan,103734
46,Master,Lawyer,Widowed,5,824,1,Large Loan,40995
53,Master,Doctor,Divorced,10,443,25,Small Loan,129484
40,Bachelor,Artist,Widowed,12,492,35,Large Loan,165948
49,PhD,Teacher,Single,82,764,24,No Loan,43537
52,PhD,Artist,Married,58,674,29,No Loan,80160
47,Master,Engineer,Married,21,565,17,Large Loan,113295
52,PhD,Engineer,Divorced,21,677,6,Large Loan,151097
24,Master,Manager,Single,65,849,26,No Loan,161350
38,PhD,Artist,Single,3,373,10,No Loan,189799
23,Master,Manager,Single,69,737,36,No Loan,35031
54,PhD,Lawyer,Divorced,89,525,7,Small Loan,87745
36,High School,Engineer,Married,64,607,10,Large Loan,115389
63,Bachelor,Engineer,Widowed,49,647,23,No Loan,111140
47,High School,Artist,Divorced,72,775,29,Large Loan,130891
49,Bachelor,Engineer,Widowed,17,614,29,Small Loan,116455
48,Bachelor,Lawyer,Married,73,824,14,Small Loan,99442
25,Master,Lawyer,Divorced,32,724,34,No Loan,133001
54,Bachelor,Lawyer,Married,70,823,38,Large Loan,76866
60,High School,Teacher,Widowed,21,548,23,Small Loan,91883
56,High School,Lawyer,Single,7,481,7,Large Loan,80237
43,PhD,Lawyer,Single,7,405,19,Large Loan,49553
48,High School,Teacher,Widowed,27,490,25,No Loan,160940
50,PhD,Manager,Single,8,436,23,Small Loan,121441
54,Bachelor,Doctor,Widowed,73,419,21,Small Loan,160032
52,High School,Engineer,Divorced,28,371,4,Small Loan,166016
40,Bachelor,Lawyer,Divorced,79,430,14,Large Loan,179831
51,High School,Engineer,Divorced,66,756,35,Small Loan,174193
42,High School,Artist,Single,71,778,36,Small Loan,139147
52,PhD,Engineer,Married,47,351,28,Large Loan,140796
22,Bachelor,Manager,Single,82,418,14,Small Loan,109599
37,High School,Teacher,Single,86,563,26,Small Loan,187631
44,Master,Engineer,Married,10,538,7,Large Loan,161832
61,Bachelor,Engineer,Married,33,650,28,Small Loan,132407
50,Bachelor,Engineer,Married,7,554,18,No Loan,141784
22,Bachelor,Doctor,Married,3,608,30,Large Loan,150893
59,PhD,Doctor,Single,14,794,8,Small Loan,58126
43,Master,Artist,Widowed,44,356,9,No Loan,55961
51,Bachelor,Teacher,Divorced,46,702,36,Large Loan,189916
41,High School,Engineer,Widowed,61,366,9,Small Loan,39088
42,High School,Engineer,Single,36,345,32,Large Loan,163308
21,PhD,Engineer,Married,13,668,24,No Loan,128975
46,High School,Engineer,Divorced,16,531,3,Large Loan,79967
61,Bachelor,Doctor,Divorced,80,701,4,Small Loan,112684
21,High School,Manager,Widowed,5,322,22,No Loan,128278
45,Bachelor,Manager,Single,89,566,38,Large Loan,76454
36,High School,Artist,Single,38,417,4,Small Loan,198636
59,Master,Lawyer,Single,50,354,7,Small Loan,58843
52,PhD,Teacher,Divorced,38,452,16,No Loan,176504
28,PhD,Manager,Widowed,56,538,0,No Loan,39433
62,Master,Engineer,Divorced,63,564,11,Large Loan,183880
58,Master,Manager,Divorced,48,567,34,Small Loan,61245
48,PhD,Artist,Married,90,412,13,No Loan,107922
61,Master,Lawyer,Widowed,59,465,17,Small Loan,180974
45,Bachelor,Manager,Married,77,307,9,Large Loan,146074
54,High School,Artist,Single,44,516,14,No Loan,149407
44,PhD,Doctor,Divorced,90,730,32,Large Loan,39702
43,Master,Lawyer,Widowed,55,591,18,Large Loan,126125
32,Bachelor,Artist,Single,55,349,33,No Loan,69185
26,PhD,Manager,Widowed,1,406,24,Large Loan,117393
55,Master,Doctor,Divorced,8,308,15,Small Loan,99222
64,PhD,Artist,Widowed,4,755,7,No Loan,149018
39,Master,Artist,Single,85,622,34,Small Loan,27416
20,PhD,Manager,Married,86,608,20,Large Loan,149236
27,Bachelor,Lawyer,Divorced,53,444,18,No Loan,116265
35,Bachelor,Doctor,Married,58,711,10,Small Loan,188743
33,High School,Engineer,Divorced,37,413,10,Small Loan,142937
31,PhD,Teacher,Single,49,698,10,Small Loan,145003
42,High School,Lawyer,Divorced,67,574,21,Small Loan,25207
34,PhD,Doctor,Married,19,423,20,Small Loan,101382
47,Master,Artist,Divorced,1,385,26,Large Loan,131968
53,Master,Doctor,Single,29,346,17,Large Loan,46511
21,High School,Teacher,Divorced,87,500,39,Large Loan,180783
51,PhD,Manager,Married,33,575,37,Large Loan,154633
42,High School,Teacher,Single,52,848,29,Large Loan,127660
41,Bachelor,Engineer,Married,41,429,32,Large Loan,181818
44,High School,Engineer,Divorced,23,747,20,Large Loan,162096
41,High School,Teacher,Widowed,5,688,1,Small Loan,186464
41,Master,Lawyer,Married,71,562,12,Large Loan,130909
61,High School,Lawyer,Divorced,57,577,1,Small Loan,47759
25,PhD,Artist,Widowed,6,345,30,No Loan,117260
34,Master,Engineer,Widowed,49,467,9,Large Loan,86586
62,High School,Artist,Single,22,744,22,Small Loan,166869
56,Bachelor,Engineer,Widowed,77,345,21,No Loan,84727
52,High School,Teacher,Married,76,839,28,No Loan,115557
27,High School,Lawyer,Married,4,386,32,Small Loan,126085
63,High School,Lawyer,Widowed,72,684,30,Small Loan,67500
63,Master,Teacher,Divorced,64,564,13,Small Loan,134266
24,PhD,Artist,Married,37,321,9,Large Loan,44986
58,Bachelor,Artist,Married,31,749,17,No Loan,174392
23,High School,Doctor,Single,37,531,10,Large Loan,193023
25,PhD,Engineer,Divorced,45,485,38,Large Loan,65694
64,PhD,Artist,Widowed,90,625,2,Large Loan,198684
51,Master,Teacher,Divorced,8,482,1,No Loan,194641
49,Bachelor,Artist,Single,40,696,7,No Loan,137100
54,Master,Lawyer,Single,97,780,30,No Loan,177271
59,PhD,Engineer,Divorced,93,702,7,Small Loan,96036
35,PhD,Manager,Single,5,762,1,Large Loan,54666
32,PhD,Doctor,Single,28,716,21,Small Loan,161474
61,Master,Engineer,Single,81,501,4,Small Loan,62549
49,Bachelor,Lawyer,Divorced,87,364,6,Large Loan,171587
38,High School,Lawyer,Single,9,316,19,No Loan,152910
36,Master,Lawyer,Widowed,2,482,27,Large Loan,134433
38,PhD,Lawyer,Widowed,63,690,12,Small Loan,37099
47,Master,Teacher,Married,96,343,1,No Loan,139159
45,PhD,Doctor,Widowed,51,781,31,No Loan,136882
56,High School,Manager,Married,31,562,25,Small Loan,47097
45,High School,Lawyer,Divorced,7,473,2,No Loan,95719
42,Bachelor,Lawyer,Single,30,740,12,No Loan,176535
28,PhD,Artist,Widowed,58,519,20,Large Loan,74094
31,Bachelor,Doctor,Married,3,693,36,Large Loan,121596
20,Bachelor,Engineer,Divorced,51,494,22,Small Loan,41696
20,High School,Doctor,Married,56,708,6,Small Loan,33354
53,Master,Doctor,Single,73,770,16,Small Loan,173984
51,Master,Manager,Widowed,10,646,27,No Loan,46880
44,Bachelor,Doctor,Divorced,61,761,29,Small Loan,133061
59,High School,Manager,Married,50,360,4,Large Loan,106296
64,PhD,Lawyer,Divorced,47,465,23,No Loan,95304
20,Master,Lawyer,Married,90,450,6,Small Loan,48951
35,Bachelor,Teacher,Married,1,410,33,No Loan,189238
58,Master,Manager,Single,94,787,32,No Loan,138548
24,Master,Manager,Single,57,848,26,No Loan,173503
41,PhD,Engineer,Married,38,302,13,Small Loan,43326
48,High School,Artist,Widowed,62,782,18,No Loan,183778
22,PhD,Doctor,Divorced,79,312,37,No Loan,58007
31,High School,Engineer,Divorced,89,461,11,No Loan,64232
45,Master,Manager,Single,70,643,2,Large Loan,58439
35,Bachelor,Engineer,Widowed,82,748,6,Small Loan,76771
56,PhD,Teacher,Married,65,631,34,Large Loan,180375
41,High School,Artist,Single,62,563,24,No Loan,60229
48,Master,Manager,Married,56,382,14,No Loan,76258
33,High School,Manager,Married,67,633,18,Large Loan,45532
47,High School,Doctor,Single,17,679,18,No Loan,97312
24,High School,Artist,Widowed,8,518,22,Large Loan,165406
49,Master,Teacher,Divorced,60,753,10,No Loan,144069
24,Bachelor,Lawyer,Single,40,388,20,No Loan,149945
31,Bachelor,Engineer,Widowed,81,632,33,No Loan,193964
35,Bachelor,Doctor,Married,89,609,38,No Loan,53484
45,High School,Manager,Single,62,719,6,Small Loan,53831
45,Master,Lawyer,Divorced,41,653,26,Small Loan,179737
40,High School,Teacher,Divorced,12,399,22,Small Loan,54205
58,Bachelor,Artist,Married,93,444,37,Large Loan,97590
55,Bachelor,Engineer,Single,89,309,19,Large Loan,199540
52,Master,Doctor,Divorced,54,343,26,Large Loan,153609
49,High School,Manager,Single,89,685,7,Large Loan,166440
56,PhD,Manager,Divorced,93,794,36,Small Loan,46435
42,PhD,Lawyer,Married,11,792,2,Large Loan,139426
29,Bachelor,Lawyer,Married,60,468,1,Large Loan,193434
24,Master,Engineer,Single,68,830,21,Large Loan,169466
55,High School,Artist,Widowed,78,635,5,No Loan,125159
53,High School,Teacher,Widowed,46,812,38,Large Loan,153117
50,Bachelor,Artist,Married,38,429,39,No Loan,139623
29,Bachelor,Artist,Divorced,61,838,35,Large Loan,121284
38,High School,Artist,Widowed,17,813,23,Large Loan,143117
51,High School,Engineer,Married,66,549,11,No Loan,79428
20,Bachelor,Engineer,Divorced,72,437,16,Large Loan,199110
24,High School,Teacher,Divorced,36,574,21,No Loan,34880
64,PhD,Artist,Widowed,74,763,18,Large Loan,176887
23,Bachelor,Engineer,Married,7,440,8,Large Loan,113376
35,High School,Teacher,Divorced,16,555,11,No Loan,181512
43,Bachelor,Manager,Divorced,14,755,31,Small Loan,162586
35,Master,Teacher,Single,80,733,30,No Loan,62668
